76,Great Plains,d11782be-4b8b-11e2-99aa-22000a929134
77,Heart of America,d10ee7d4-4b8b-11e2-99aa-22000a929134
78,Missouri,d137f58b-4b8b-11e2-99aa-22000a929134
79,Ozark,d184fdbb-4b8b-11e2-99aa-22000a929134
80,Rio Grande,d1bd86cb-4b8b-11e2-99aa-22000a929134
81,Alaska Manu Bears Rugby Team,d2485d64-4b8b-11e2-99aa-22000a929134
82,Alaska Rugby Referee Society,d26ec450-4b8b-11e2-99aa-22000a929134
83,Anchorage Thunderbirds,d3badc0f-4b8b-11e2-99aa-22000a929134
84,Anchorage Warriors RFC,d3d0ebca-4b8b-11e2-99aa-22000a929134
85,Anchorage Women's Rugby,d3b036b3-4b8b-11e2-99aa-22000a929134
86,Bird Creek Barbarians Rugby Football Club,d3d976c2-4b8b-11e2-99aa-22000a929134
87,Fairbanks Men's Rugby Football Club,d40b0916-4b8b-11e2-99aa-22000a929134
88,"Fairbanks Women's Rugby Football Club, Inc",d4317d40-4b8b-11e2-99aa-22000a929134
89,Kenai River Wolfpack Rugby Football Club,d4e53b77-4b8b-11e2-99aa-22000a929134
90,Mat-Su Women Maulers,d4ffcdc4-4b8b-11e2-99aa-22000a929134
91,Mat-Valley Maulers Rugby Football Club,d6177884-4b8b-11e2-99aa-22000a929134
92,Spenard Green Dragons Rugby Football Club,d680cbe0-4b8b-11e2-99aa-22000a929134
93,Allegheny College Rugby Football Club,d680db7f-4b8b-11e2-99aa-22000a929134
94,Allegheny Rugby Union Referees' Society,d698588f-4b8b-11e2-99aa-22000a929134
95,Allegheny Women's Rugby Football Club,d66c5a64-4b8b-11e2-99aa-22000a929134
96,Buffalo Rugby Club,d68514b5-4b8b-11e2-99aa-22000a929134
97,Buffalo Women's Rugby Club,d7933650-4b8b-11e2-99aa-22000a929134
98,California University Of Penn Women's Rugby,d788e2a0-4b8b-11e2-99aa-22000a929134
99,California University of Pennsylvania Men's Roosterhead Rugby,d889b71f-4b8b-11e2-99aa-22000a929134
100,Canevin High School Womens RFC,d8be12c6-4b8b-11e2-99aa-22000a929134
101,Carnegie Mellon Graduate Rugby Football Club,d8c3d044-4b8b-11e2-99aa-22000a929134
102,Carnegie Mellon University Rugby Club,d9300ba5-4b8b-11e2-99aa-22000a929134
103,Central Catholic Rugby,d90fd85d-4b8b-11e2-99aa-22000a929134
104,Civil War Re-enactors,d920e722-4b8b-11e2-99aa-22000a929134
105,Clarion Taffurs Rugby Football Club,da033272-4b8b-11e2-99aa-22000a929134
106,Clarion Women's Rugby Football Club,da1e1217-4b8b-11e2-99aa-22000a929134
107,Clearfield Wolfpack Rugby Football Club,daef3ae3-4b8b-11e2-99aa-22000a929134
108,Duquesne University Mens Rugby Club,db372626-4b8b-11e2-99aa-22000a929134
109,Erie Rugby Football Club,db4c5150-4b8b-11e2-99aa-22000a929134
110,Erie Women's Rugby Club - INACTIVE,db7feb4c-4b8b-11e2-99aa-22000a929134
111,Fairmont Laochs Mens Rugby Club,db884ffb-4b8b-11e2-99aa-22000a929134
112,Fairmont State University,dbe565e3-4b8b-11e2-99aa-22000a929134
113,Fox Chapel Girls Rugby,dcd21eb0-4b8b-11e2-99aa-22000a929134
114,Franciscan University Of Steubenville RFC,dd81bd46-4b8b-11e2-99aa-22000a929134
115,Geneva College Rugby Football Club,de8e07a3-4b8b-11e2-99aa-22000a929134
116,Grove City College Men's Rugby Football Club,df5e2c16-4b8b-11e2-99aa-22000a929134
117,Grove City College Women's Rugby,df55ebbf-4b8b-11e2-99aa-22000a929134
118,INACTIVE Greensburg Rugby Football Club,df780c84-4b8b-11e2-99aa-22000a929134
119,Indiana Scooters Women's Rugby Club - INACTIVE,df535c9d-4b8b-11e2-99aa-22000a929134
120,Indiana University of PA Rugby Football Club,dfab8d64-4b8b-11e2-99aa-22000a929134
121,Indiana University of PA Women's Rugby Club,e075d83a-4b8b-11e2-99aa-22000a929134
122,Juniata College Women's Rugby Club,e087aa0c-4b8b-11e2-99aa-22000a929134
123,Juniata River Rats Men's Rugby Club,e14842eb-4b8b-11e2-99aa-22000a929134
124,Mon River Maniacs U-19 Girls RFC,e233755e-4b8b-11e2-99aa-22000a929134
125,Mon River RFC,e22b7394-4b8b-11e2-99aa-22000a929134
126,Mon River Womens Rugby Football Club,e24a1991-4b8b-11e2-99aa-22000a929134
127,North Central West Virginia RFC,e28a52a4-4b8b-11e2-99aa-22000a929134
128,Panther Women's Rugby Football Club,e2875364-4b8b-11e2-99aa-22000a929134
129,Penn State Altoona RFC,e34c62b6-4b8b-11e2-99aa-22000a929134
130,Penn State Behrend RFC,e342221a-4b8b-11e2-99aa-22000a929134
131,Pittsburgh Community Rugby - Carrick HSWRFC - INACTIVE,e3d86d6c-4b8b-11e2-99aa-22000a929134
132,Pittsburgh North Park Boys HS RFC,e48bf9ca-4b8b-11e2-99aa-22000a929134
133,Pittsburgh Panther RFC,e4d15a1d-4b8b-11e2-99aa-22000a929134
134,Pittsburgh Rugby Club,e4ce07ce-4b8b-11e2-99aa-22000a929134
135,Pittsburgh Women's Rugby Football Club,e5371491-4b8b-11e2-99aa-22000a929134
136,Point Park University Rugby Football Club,e561d659-4b8b-11e2-99aa-22000a929134
137,Robert Morris University RFC,e5d121c9-4b8b-11e2-99aa-22000a929134
138,Rochester Aardvarks,e5d46b6a-4b8b-11e2-99aa-22000a929134
